"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "Markdown", "PowerShell", "HTML", "comment", "blank", "total"
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 7092, 0, 0, 0, 0, 194, 873, 8159
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 8, 21
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\ai-studio-applet-webapp-7ac33-firebase-adminsdk-fbsvc-209f88001c.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_idp.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_pb.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_rules.mjs", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_schema.mjs", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\clean_orphans.mjs", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 5, 40
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\clear_database.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\components\BuildingDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 14, 151
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 13, 78
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\components\IconComponents.tsx", "TypeScript JSX", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 35, 187
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\components\ItemDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 7, 59
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\components\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\data\buildings.ts", "TypeScript", 4586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4595
