"filename", "language", "JavaScript", "PowerShell", "JSON with Comments", "TypeScript", "TypeScript JSX", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\App.restored.from.map.tsx", "TypeScript JSX", 0, 0, 0, 0, 15158, 0, 0, 1127, 1688, 17973
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\App.test2.tsx", "TypeScript JSX", 0, 0, 0, 0, 15158, 0, 0, 1127, 1688, 17973
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\App.test3.tsx", "TypeScript JSX", 0, 0, 0, 0, 15158, 0, 0, 1127, 1688, 17973
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\App.test_restore.tsx", "TypeScript JSX", 0, 0, 0, 0, 15158, 0, 0, 1127, 1688, 17973
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 8224, 0, 0, 679, 704, 9607
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\LoadingScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 1, 0, 13
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\add_building_schema_fields.mjs", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 7, 18, 98
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\add_gender_field.mjs", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 3, 19, 104
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\ai-studio-applet-webapp-7ac33-firebase-adminsdk-fbsvc-209f88001c.json", "JSON", 0, 0, 0, 0, 0, -13, 0, 0, -1, -14
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_cannon364.mjs", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 2, 5, 44
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_elections.mjs", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 1, 15, 88
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_folders.cjs", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_monsters.mjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_regressions_worker6.mjs", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 6, 11, 70
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_schema.mjs", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 1, 7, 54
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\clean_all_monsters_fresh.mjs", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 1, 11, 54
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\cleanup_building_resource_overlaps.mjs", "JavaScript", 186, 0, 0, 0, 0, 0, 0, 22, 33, 241
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\cleanup_buildings_combat_legacy.mjs", "JavaScript", 145, 0, 0, 0, 0, 0, 0, 28, 26, 199
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\cleanup_elections.mjs", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 5, 21, 140
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\clear_loot.mjs", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 3, 16, 99
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\components\IconComponents.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_alchemy_factory_anim.cjs", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 3, 9, 59
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_detonator_factory_anim.cjs", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 5, 8, 54
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_emerald_factory_anim.cjs", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_flags_anim.cjs", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 11, 52
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_gold_smelter_anim.cjs", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 4, 11, 86
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_lily_pond_anim.cjs", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_mine_anim.cjs", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 9, 77
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_monster_academy_anim.cjs", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 3, 10, 81
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_mushroom_bed_anim.cjs", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 9, 81
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_oil_rig.cjs", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_recommendation_factory.cjs", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_steel_rolling_mill_anim.cjs", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_steel_smelting_anim.cjs", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 3, 10, 61
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_stone_crusher_anim.cjs", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 1, 9, 60
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_wild_quarry.cjs", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\count_monsters.mjs", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 3, 4, 40
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\create_elections_collection.mjs", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 5, 13, 142
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\create_elections_http.mjs", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 6, 27, 173
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\data\buildings.ts", "TypeScript", 0, 0, 0, 36713, 0, 0, 0, 45, -1, 36757
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\debug_schema.mjs", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 6, 6, 56
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\debug_spawn.mjs", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 5, 7, 73
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\delete_all_cannons.mjs", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 2, 8, 51
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\delete_duplicate_monsters.mjs", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 3, 9, 63
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\deploy.cjs", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\deploy.ps1", "PowerShell", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\deploy_auto.cjs", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 3, 6, 39
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\deploy_ssh2.cjs", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 16, 109
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\diag2.mjs", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 4, 8, 67
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\diag_monsters.mjs", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 3, 10, 64
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\diag_townhall.mjs", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 8, 12, 138
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\explode_all_cannons.mjs", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 6, 9, 72
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\firebase_dump.json", "JSON", 0, 0, 0, 0, 0, -9287, 0, 0, 0, -9287
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_elections.mjs", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 7, 27, 174
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_monster_hp.mjs", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 23, 20, 154
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\idp.json", "JSON", 0, 0, 0, 0, 0, -183, 0, 0, 0, -183
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\index.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\list_types.mjs", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 2, 7, 38
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\mass_delete_monsters.mjs", "JavaScript", 13, 0, 0, 0, 0, 0, 0, -4, -5, 4
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\package.json", "JSON", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\quick_reset_map.mjs", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\recreate_elections.mjs", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 4, 21, 164
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\regenerate_world.mjs", "JavaScript", 334, 0, 0, 0, 0, 0, 0, 27, 30, 391
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\repair_live_pocketbase_schema.mjs", "JavaScript", 179, 0, 0, 0, 0, 0, 0, 0, 29, 208
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\reset_monsters_deterministic.mjs", "JavaScript", 194, 0, 0, 0, 0, 0, 0, 0, 28, 222
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\reset_trees_monsters.mjs", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 12, 12, 61
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\respawn_all.mjs", "JavaScript", 286, 0, 0, 0, 0, 0, 0, 27, 44, 357
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\respawn_monsters_manual.mjs", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 8, 18, 199
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\scratch\apply_nuclear_replace.cjs", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 13, 16, 129
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\scratch\gen_mushroom_bed.cjs", "JavaScript", 172, 0, 0, 0, 0, 0, 0, 4, 10, 186
